stock_number,gemstone,origin,price,carat,shape,cut,color,clarity,measurements,table,depth,symmetry,polish,girdle,culet,fluorescence,diamond_id
5688053A,"Natural, untreated diamond",Canada,"$2,830",1.00,Round,Fair,H,SI1,5.96mm x 5.93mm x 4.15mm,57.0%,69.9%,Excellent,Excellent,"Very Thick - Extremely Thick, Faceted",None,Medium,17895752
6051816A,"Natural, untreated diamond",Canada,"$2,810",1.00,Round,Good,H,SI2,6.27mm x 6.15mm x 4.03mm,57.0%,64.9%,Good,Excellent,Very Thin - Thick,None,Faint,17575582
6585747A,"Natural, untreated diamond",Botswana Sort,"$2,840",1.00,Round,Good,G,SI2,6.17mm x 6.12mm x 4.00mm,56.5%,65.1%,Very Good,Excellent,Thick - Very Thick,Pointed,None,17838216
5967171A,"Natural, untreated diamond",Botswana Sort,"$2,840",1.00,Round,Good,I,SI1,6.19mm x 6.13mm x 4.03mm,66.0%,65.5%,Very Good,Excellent,Thick - Very Thick,None,Faint,17887008
6161194A,"Natural, untreated diamond",Botswana Sort,"$2,820",1.00,Round,Very Good,G,SI2,6.40mm x 6.31mm x 3.88mm,62.5%,60.8%,Very Good,Excellent,Thick,Pointed,None,17487749
5574770A,"Natural, untreated diamond",Botswana Sort,"$2,840",1.00,Round,Fair,I,SI2,6.17mm x 6.04mm x 4.09mm,51.0%,67.0%,Good,Excellent,6.5,Pointed,Strong,17869402
5857896A,"Natural, untreated diamond",Botswana Sort,"$2,840",1.00,Round,Very Good,J,SI2,6.29mm x 6.22mm x 4.01mm,57.0%,64.2%,Very Good,Excellent,Thick,None,Faint,17742051
5119556A,"Natural, untreated diamond",Botswana Sort,"$2,850",1.00,Round,Good,E,SI2,6.07mm x 5.93mm x 4.14mm,55.5%,68.9%,Good,Excellent,Thick - Very Thick,Pointed,None,15360070
5138366A,"Natural, untreated diamond",Botswana Sort,"$2,850",1.00,Round,Good,I,SI1,6.04mm x 5.90mm x 4.14mm,57.5%,68.8%,Good,Very Good,Slightly Thick - Very Thick,Pointed,None,15360062
5696228A,"Natural, untreated diamond",Canada,"$2,850",1.00,Round,Good,J,SI2,6.13mm x 6.06mm x 4.05mm,57.0%,66.5%,Very Good,Very Good,"Thin - Very Thick, Faceted",None,None,17892948
5245876A,"Natural, untreated diamond",Botswana Sort,"$2,860",1.00,Round,Good,J,SI1,6.12mm x 6.01mm x 4.01mm,55.0%,66.1%,Very Good,Excellent,Thick - Very Thick(Faceted),None,None,15992784
6127600A,"Natural, untreated diamond",Botswana Sort,"$2,860",1.00,Round,Ideal,G,SI2,6.36mm x 6.35mm x 3.97mm,57.5%,62.4%,Excellent,Excellent,Medium - Slightly Thick,Pointed,Very Slight,17885378
6200116A,"Natural, untreated diamond",Botswana Sort,"$2,860",1.00,Round,Very Good,I,SI2,6.28mm x 6.23mm x 3.96mm,56.0%,63.3%,Very Good,Excellent,Sl.Tk - Thick,None,Strong,17560117
6291723A,"Natural, untreated diamond",Botswana Sort,"$2,840",1.00,Round,Very Good,F,SI2,6.30mm x 6.22mm x 3.94mm,63.0%,62.8%,Very Good,Excellent,Slightly Thick - Thick,Pointed,None,17326073
5573650A,"Natural, untreated diamond",Botswana Sort,"$2,860",1.00,Round,Fair,H,SI2,6.07mm x 6.02mm x 4.25mm,57.0%,70.3%,Good,Very Good,6,Pointed,None,17303563
6045391A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Super Ideal,J,SI2,6.39mm x 6.36mm x 4.03mm,57.0%,63.3%,Excellent,Excellent,Medium,None,None,17742334
5539614A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Good,J,SI1,6.21mm x 6.09mm x 4.04mm,64.0%,65.6%,Good,Very Good,Medium - Very Thick(Faceted),None,None,15994100
6065042A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Very Good,G,SI2,6.29mm x 6.25mm x 4.01mm,57.5%,64.0%,Very Good,Excellent,5.7,Pointed,None,17869505
5628226A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Good,I,SI1,6.07mm x 5.95mm x 4.08mm,55.0%,67.9%,Good,Excellent,Thick - Very Thick,Pointed,None,15360664
4081420A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Fair,G,SI2,6.06mm x 6.00mm x 4.09mm,56.0%,67.9%,Very Good,Excellent,7.5,Pointed,None,16959386
6315550A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Ideal,I,SI2,6.39mm x 6.33mm x 4.01mm,56.5%,63.0%,Excellent,Excellent,3.5,Pointed,None,17869539
6293114A,"Natural, untreated diamond",Botswana Sort,"$2,850",1.00,Round,Very Good,F,SI2,6.31mm x 6.25mm x 4.01mm,61.0%,63.7%,Very Good,Excellent,Medium - Thick,Pointed,None,17327107
4812968A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Fair,H,SI1,5.99mm x 5.90mm x 4.17mm,56.0%,70.1%,Good,Excellent,"Thick - Extremely Thick, Faceted",None,None,17895558
6123612A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Very Good,J,SI2,6.31mm x 6.24mm x 3.92mm,61.0%,62.4%,Very Good,Very Good,5.5,Medium,None,17869451
6176279A,"Natural, untreated diamond",Botswana Sort,"$2,860",1.00,Round,Ideal,I,SI2,6.32mm x 6.30mm x 3.99mm,57.0%,63.2%,Excellent,Excellent,Medium - Slightly Thick,Pointed,Slight,17449999
6585731A,"Natural, untreated diamond",Botswana Sort,"$2,880",1.00,Round,Very Good,G,SI2,6.25mm x 6.15mm x 4.03mm,55.5%,65.0%,Good,Excellent,Slightly Thick - Thick,Pointed,None,17837835
5676198A,"Natural, untreated diamond",Botswana Sort,"$2,880",1.00,Round,Fair,G,SI2,5.98mm x 5.92mm x 4.21mm,54.0%,70.7%,Very Good,Excellent,"Medium - Extremely Thick, Faceted",None,None,17895052
5663828A,"Natural, untreated diamond",Botswana Sort,"$2,880",1.00,Round,Very Good,I,SI2,6.27mm x 6.23mm x 4.04mm,58.0%,64.5%,Excellent,Excellent,"Slightly Thick - Thick, Faceted",None,None,17892787
5911798A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Very Good,G,SI2,6.27mm x 6.20mm x 4.03mm,57.5%,64.5%,Excellent,Excellent,Medium - Slightly Thick,Pointed,None,17793013
5879871A,"Natural, untreated diamond",Botswana Sort,"$2,870",1.00,Round,Very Good,F,SI2,6.29mm x 6.18mm x 4.07mm,59.5%,65.2%,Good,Excellent,Medium - Slightly Thick,Pointed,None,17326361
5245865A,"Natural, untreated diamond",Botswana Sort,"$2,890",1.00,Round,Good,J,VS2,6.09mm x 5.98mm x 4.10mm,53.5%,67.9%,Good,Excellent,Very Thick - Very Thick,Pointed,None,15360026
5763788A,"Natural, untreated diamond",Botswana Sort,"$2,900",1.00,Round,Fair,H,SI2,6.22mm x 6.17mm x 3.87mm,61.5%,62.4%,Good,Very Good,6.5,Pointed,None,17869485
6588377A,"Natural, untreated diamond",Botswana Sort,"$2,900",1.00,Round,Good,I,SI2,6.06mm x 5.99mm x 4.03mm,59.0%,66.9%,Very Good,Excellent,Slightly Thick - Very Thick,None,Faint,17842658
5778963A,"Natural, untreated diamond",Botswana Sort,"$2,900",1.00,Round,Very Good,J,SI2,6.37mm x 6.29mm x 3.94mm,55.0%,62.3%,Very Good,Excellent,Slightly Thick - Thick,None,Medium,14852978
6349270A,"Natural, untreated diamond",Canada,"$2,910",1.00,Round,Fair,J,VS2,5.96mm x 5.93mm x 4.08mm,57.0%,68.7%,Excellent,Excellent,"Extremely Thick, Faceted",None,Faint,17898589
5064411A,"Natural, untreated diamond",Botswana Sort,"$2,910",1.00,Round,Fair,J,VS2,6.03mm x 5.96mm x 4.14mm,59.0%,69.1%,Very Good,Excellent,"Very Thick, Faceted",None,None,17895162
4201404A,"Natural, untreated diamond",Botswana Sort,"$2,910",1.00,Round,Good,I,SI2,6.13mm x 6.06mm x 4.07mm,55.0%,66.8%,Very Good,Excellent,7.1,Pointed,None,17869510
4903911A,"Natural, untreated diamond",Botswana Sort,"$2,910",1.00,Round,Very Good,F,SI2,6.25mm x 6.18mm x 4.03mm,57.0%,64.8%,Good,Excellent,Thin - Thick(Faceted),None,None,15992927
5663841A,"Natural, untreated diamond",Botswana Sort,"$2,910",1.00,Round,Fair,H,SI1,5.97mm x 5.95mm x 4.20mm,57.0%,70.5%,Excellent,Excellent,"Very Thick - Extremely Thick, Faceted",None,Faint,17900158
6539818A,"Natural, untreated diamond",Botswana Sort,"$2,920",1.00,Round,Good,J,SI2,6.26mm x 6.20mm x 3.87mm,64.0%,62.1%,Very Good,Excellent,Thick - Very Thick,None,Faint,17635746
5756327A,"Natural, untreated diamond",Botswana Sort,"$2,920",1.00,Round,Very Good,J,SI2,6.37mm x 6.33mm x 3.96mm,58.0%,62.3%,Excellent,Excellent,Very Thin - Slightly Thick,None,Faint,14200903
6336163A,"Natural, untreated diamond",Botswana Sort,"$2,920",1.00,Round,Good,J,SI2,6.17mm x 6.09mm x 4.03mm,58.0%,65.7%,Very Good,Excellent,7,Pointed,None,17303491
5840440A,"Natural, untreated diamond",Botswana Sort,"$2,920",1.00,Round,Ideal,G,SI2,6.34mm x 6.28mm x 4.01mm,56.0%,63.5%,Excellent,Excellent,Medium - Slightly Thick,Pointed,Very Slight,17733066
5448128A,"Natural, untreated diamond",Botswana Sort,"$2,930",1.00,Round,Good,I,SI1,6.14mm x 5.98mm x 4.08mm,59.0%,67.2%,Good,Excellent,Thick - Very Thick(Faceted),None,None,15992708
6073400A,"Natural, untreated diamond",Botswana Sort,"$2,910",1.00,Round,Ideal,H,SI2,6.36mm x 6.31mm x 4.00mm,56.0%,63.2%,Excellent,Excellent,Medium - Slightly Thick,Pointed,None,16629082
6106034A,"Natural, untreated diamond",Botswana Sort,"$2,930",1.00,Round,Very Good,I,SI2,6.25mm x 6.20mm x 4.01mm,57.0%,64.5%,Excellent,Excellent,Slightly Thick - Thick,Pointed,None,16478177
6293459A,"Natural, untreated diamond",Botswana Sort,"$2,920",1.00,Round,Very Good,H,SI2,6.29mm x 6.21mm x 4.03mm,61.0%,64.4%,Very Good,Very Good,Thin - Slightly Thick,Pointed,None,16631750
6161183A,"Natural, untreated diamond",Botswana Sort,"$2,940",1.00,Round,Ideal,H,SI2,6.37mm x 6.32mm x 3.97mm,56.5%,62.5%,Excellent,Excellent,Medium - Slightly Thick,Pointed,None,17885334
5793825A,"Natural, untreated diamond",Botswana Sort,"$2,940",1.00,Round,Good,H,SI2,6.49mm x 6.46mm x 3.78mm,57.0%,58.3%,Very Good,Very Good,Medium - Thick,None,None,17504563
6585790A,"Natural, untreated diamond",Botswana Sort,"$2,950",1.00,Round,Very Good,G,SI2,6.25mm x 6.16mm x 4.03mm,56.5%,64.8%,Very Good,Excellent,Medium - Thick,Pointed,None,17837799
5663838A,"Natural, untreated diamond",Canada,"$2,950",1.00,Round,Very Good,J,SI1,6.28mm x 6.25mm x 4.01mm,59.0%,64.0%,Excellent,Excellent,"Thick, Faceted",None,None,17893558
6543901Y,"Natural, untreated diamond",Canada,"$2,950",1.00,Round,Very Good,J,SI1,6.27mm x 6.20mm x 4.02mm,59.0%,64.5%,Very Good,Excellent,Slightly Thick - Thick,None,Strong,17672014
6555196Y,"Natural, untreated diamond",Botswana Sort,"$2,960",1.00,Round,Very Good,J,SI1,6.24mm x 6.18mm x 3.98mm,57.0%,64.1%,Very Good,Excellent,Thick,None,Medium,17747270
5245875A,"Natural, untreated diamond",Botswana Sort,"$2,960",1.00,Round,Good,I,VS1,6.05mm x 5.86mm x 4.14mm,58.0%,68.7%,Good,Very Good,Thick - Very Thick,Pointed,Very Slight,15360204
5407465A,"Natural, untreated diamond",Botswana Sort,"$2,960",1.00,Round,Good,J,VS2,6.13mm x 6.08mm x 4.06mm,60.0%,66.5%,Very Good,Very Good,Slightly Thick - Very Thick(Faceted),None,None,15993654
6237665A,"Natural, untreated diamond",Botswana Sort,"$2,940",1.00,Round,Very Good,E,SI2,6.29mm x 6.21mm x 4.02mm,59.5%,64.2%,Very Good,Excellent,Medium - Slightly Thick,Pointed,Slight,17326985
6073478A,"Natural, untreated diamond",Botswana Sort,"$2,960",1.00,Round,Ideal,E,SI2,6.37mm x 6.33mm x 3.93mm,59.0%,61.8%,Excellent,Excellent,Medium - Slightly Thick,Pointed,Slight,17885352
6543933Y,"Natural, untreated diamond",Botswana Sort,"$2,970",1.00,Round,Ideal,J,SI2,6.39mm x 6.33mm x 3.93mm,59.0%,61.7%,Very Good,Very Good,Medium - Slightly Thick,None,Faint,17672008
5179078A,"Natural, untreated diamond",Botswana Sort,"$2,970",1.00,Round,Good,I,SI2,6.11mm x 6.03mm x 4.06mm,59.0%,66.9%,Very Good,Excellent,Slightly Thick - Very Thick(Faceted),None,None,15993351
5957016A,"Natural, untreated diamond",Botswana Sort,"$2,970",1.00,Round,Good,G,SI2,6.18mm x 6.09mm x 4.07mm,57.0%,66.4%,Very Good,Excellent,Thick - Very Thick,None,Medium,14923276
6133756A,"Natural, untreated diamond",Botswana Sort,"$2,970",1.00,Round,Good,G,SI2,6.13mm x 6.08mm x 4.03mm,55.0%,66.1%,Very Good,Excellent,Thick - Very Thick,None,Medium,15715305
6346888A,"Natural, untreated diamond",Botswana Sort,"$2,980",1.00,Round,Very Good,J,SI1,6.29mm x 6.24mm x 4.02mm,56.0%,64.2%,Very Good,Excellent,Slightly Thick - Thick,None,None,17684116
5897813A,"Natural, untreated diamond",Botswana Sort,"$2,980",1.00,Round,Ideal,I,SI2,6.39mm x 6.31mm x 3.99mm,59.0%,62.9%,Very Good,Excellent,Thin - Slightly Thick,None,,17874015
6293037A,"Natural, untreated diamond",Botswana Sort,"$2,960",1.00,Round,Ideal,G,SI2,6.31mm x 6.26mm x 3.98mm,59.0%,63.2%,Excellent,Excellent,Medium - Slightly Thick,Pointed,None,17327134
6337886A,"Natural, untreated diamond",Botswana Sort,"$2,960",1.00,Round,Very Good,G,SI2,6.34mm x 6.26mm x 3.96mm,62.0%,62.8%,Very Good,Excellent,Medium - Thick,Pointed,None,17326477
5564022A,"Natural, untreated diamond",Botswana Sort,"$2,960",1.00,Round,Ideal,F,SI2,6.40mm x 6.30mm x 3.82mm,62.0%,60.0%,Very Good,Excellent,Medium - Slightly Thick,Pointed,None,17327046
6330091A,"Natural, untreated diamond",Botswana Sort,"$2,990",1.00,Round,Good,H,SI2,6.13mm x 6.06mm x 4.03mm,57.0%,66.2%,Very Good,Excellent,Medium - Very Thick,None,None,16553331
5097070A,"Natural, untreated diamond",Botswana Sort,"$2,990",1.00,Round,Good,I,VS2,6.06mm x 5.92mm x 4.13mm,54.0%,68.7%,Good,Excellent,Thick - Very Thick,Pointed,None,15362185
5663843A,"Natural, untreated diamond",Botswana Sort,"$2,990",1.00,Round,Fair,H,SI1,5.97mm x 5.91mm x 4.14mm,54.0%,69.7%,Very Good,Excellent,"Very Thick - Extremely Thick, Faceted",None,None,17892267
6458458A,"Natural, untreated diamond",Botswana Sort,"$2,990",1.00,Round,Very Good,G,SI2,6.52mm x 6.46mm x 3.76mm,62.0%,57.9%,Very Good,Excellent,Thick,Very Small,None,17326069
6459046A,"Natural, untreated diamond",Botswana Sort,"$2,990",1.00,Round,Very Good,G,SI2,6.24mm x 6.20mm x 4.05mm,59.5%,65.1%,Excellent,Excellent,Slightly Thick - Thick,Pointed,None,17575614
5578640A,"Natural, untreated diamond",Botswana Sort,"$3,000",1.00,Round,Good,I,SI1,6.13mm x 6.05mm x 4.05mm,55.0%,66.5%,Very Good,Excellent,Thick - Very Thick(Faceted),None,None,15994092
5245872A,"Natural, untreated diamond",Botswana Sort,"$3,000",1.00,Round,Good,I,SI1,6.12mm x 6.03mm x 4.05mm,60.0%,66.8%,Very Good,Very Good,Thin - Very Thick(Faceted),None,None,16989127
5700213A,"Natural, untreated diamond",Botswana Sort,"$3,000",1.00,Round,Ideal,I,SI2,6.49mm x 6.43mm x 3.96mm,53.0%,61.2%,Very Good,Excellent,"Medium - Slightly Thick, Faceted",None,Faint,17895474
5245860A,"Natural, untreated diamond",Botswana Sort,"$3,000",1.00,Round,Good,I,SI1,6.16mm x 5.98mm x 4.05mm,56.0%,66.7%,Good,Excellent,Slightly Thick - Very Thick(Faceted),None,None,15993191
5612062A,"Natural, untreated diamond",Botswana Sort,"$3,000",1.00,Round,Good,I,VS2,6.07mm x 5.98mm x 4.13mm,55.5%,68.7%,Good,Excellent,Thick - Very Thick,Pointed,None,15360517
6586326A,"Natural, untreated diamond",Botswana Sort,"$3,010",1.00,Round,Ideal,I,SI2,6.37mm x 6.33mm x 4.00mm,57.0%,63.0%,Excellent,Very Good,Thin - Slightly Thick,None,Strong,17838325
6292925A,"Natural, untreated diamond",Botswana Sort,"$2,990",1.00,Round,Ideal,F,SI2,6.43mm x 6.35mm x 3.95mm,60.0%,61.6%,Very Good,Excellent,Thin - Medium,Pointed,None,17327028
5574766A,"Natural, untreated diamond",Botswana Sort,"$3,010",1.00,Round,Fair,G,SI2,6.38mm x 6.29mm x 3.76mm,63.5%,59.2%,Very Good,Very Good,6.3,Pointed,Slight,17869459
6519313A,"Natural, untreated diamond",Botswana Sort,"$3,010",1.00,Round,Fair,I,SI1,6.20mm x 6.10mm x 3.99mm,56.0%,64.8%,Very Good,Excellent,6.2,Pointed,Strong,17546100
6585774A,"Natural, untreated diamond",Botswana Sort,"$3,020",1.00,Round,Good,G,SI2,6.21mm x 6.09mm x 4.04mm,56.0%,65.6%,Good,Excellent,Medium - Thick,None,Faint,17837792
6278785A,"Natural, untreated diamond",Botswana Sort,"$3,000",1.00,Round,Ideal,J,SI2,6.49mm x 6.45mm x 3.86mm,59.0%,59.6%,Excellent,Very Good,Slightly Thick,None,Strong,17776167
6585892A,"Natural, untreated diamond",Botswana Sort,"$3,020",1.00,Round,Very Good,G,SI2,6.33mm x 6.30mm x 3.98mm,55.5%,63.0%,Very Good,Excellent,Medium - Thick,Pointed,None,17838230
6065045A,"Natural, untreated diamond",Botswana Sort,"$3,020",1.00,Round,Good,H,SI2,6.18mm x 6.11mm x 4.04mm,59.0%,65.8%,Very Good,Excellent,7,Pointed,Strong,17869478
5212518A,"Natural, untreated diamond",Botswana Sort,"$3,020",1.00,Round,Good,G,SI2,6.12mm x 5.97mm x 4.07mm,59.0%,67.3%,Good,Excellent,Thick - Very Thick(Faceted),None,None,15993556
5473246A,"Natural, untreated diamond",Botswana Sort,"$3,020",1.00,Round,Very Good,J,SI2,6.31mm x 6.25mm x 4.00mm,59.0%,63.7%,Very Good,Very Good,Slightly Thick - Thick,None,None,17742392
5859745A,"Natural, untreated diamond",Botswana Sort,"$3,000",1.00,Round,Very Good,G,SI2,6.21mm x 6.14mm x 4.03mm,57.0%,65.2%,Very Good,Excellent,Thick,Pointed,None,17575646
6073605A,"Natural, untreated diamond",Botswana Sort,"$2,990",1.00,Round,Ideal,H,SI2,6.36mm x 6.27mm x 4.02mm,56.0%,63.4%,Very Good,Excellent,Medium - Slightly Thick,Pointed,Very Slight,17450134
5945663A,"Natural, untreated diamond",Botswana Sort,"$3,020",1.00,Round,Very Good,I,SI2,6.24mm x 6.17mm x 3.99mm,58.0%,64.3%,Very Good,Excellent,V.Tn - Thick,None,Medium,17504045
6568492Y,"Natural, untreated diamond",Canada,"$3,030",1.00,Round,Good,J,SI2,6.28mm x 6.23mm x 3.95mm,56.0%,63.2%,Very Good,Excellent,Thick - Very Thick,None,None,17763808
6539467A,"Natural, untreated diamond",Botswana Sort,"$3,030",1.00,Round,Good,F,SI2,6.16mm x 6.04mm x 4.03mm,54.5%,65.8%,Good,Excellent,Slightly Thick - Very Thick,None,None,17793041
5245852A,"Natural, untreated diamond",Botswana Sort,"$3,030",1.00,Round,Good,H,SI2,6.15mm x 6.05mm x 4.05mm,59.0%,66.4%,Good,Excellent,Medium - Very Thick(Faceted),None,None,15992791
5897704A,"Natural, untreated diamond",Botswana Sort,"$3,030",1.00,Round,Good,J,SI2,6.19mm x 6.12mm x 4.07mm,54.0%,66.2%,Good,Excellent,Medium - Very Thick,None,None,14738253
6598129A,"Natural, untreated diamond",Botswana Sort,"$3,030",1.00,Round,Good,H,SI2,6.09mm x 6.02mm x 4.04mm,57.0%,66.8%,Very Good,Very Good,Very Thick,None,None,17882548
6252652A,"Natural, untreated diamond",Botswana Sort,"$3,030",1.00,Round,Good,H,SI1,6.13mm x 6.10mm x 4.04mm,57.0%,66.1%,Excellent,Excellent,Thick - Very Thick,None,Strong,17770086
6097905A,"Natural, untreated diamond",Botswana Sort,"$3,040",1.00,Round,Ideal,F,SI2,6.40mm x 6.31mm x 3.98mm,57.0%,62.5%,Very Good,Excellent,Thin - Medium,Pointed,None,17885373
5439814A,"Natural, untreated diamond",Botswana Sort,"$3,040",1.00,Round,Good,H,SI2,6.16mm x 5.96mm x 4.05mm,59.0%,66.8%,Good,Excellent,Thick - Very Thick(Faceted),None,None,15992913
6548859A,"Natural, untreated diamond",Botswana Sort,"$3,040",1.00,Round,Very Good,I,SI2,6.50mm x 6.44mm x 3.81mm,61.0%,59.0%,Very Good,Excellent,Slightly Thick - Thick,None,Medium,17678930
5680864A,"Natural, untreated diamond",Botswana Sort,"$3,040",1.00,Round,Fair,J,VS2,5.99mm x 5.93mm x 4.00mm,57.0%,67.1%,Very Good,Excellent,"Extremely Thick, Faceted",None,None,17895956
6422455A,"Natural, untreated diamond",Botswana Sort,"$3,050",1.00,Round,Very Good,H,SI2,6.24mm x 6.17mm x 4.00mm,57.0%,64.5%,Very Good,Excellent,Medium - Thick,None,None,17560119
6016453A,"Natural, untreated diamond",Canada,"$3,030",1.00,Round,Very Good,F,SI2,6.32mm x 6.25mm x 4.04mm,58.0%,64.3%,Very Good,Excellent,Medium - Thick,Pointed,None,17325762
6543909Y,"Natural, untreated diamond",Botswana Sort,"$3,050",1.00,Round,Ideal,F,SI2,6.37mm x 6.32mm x 3.99mm,54.0%,63.0%,Very Good,Excellent,Medium - Slightly Thick,None,Very Strong,17672052
5539532A,"Natural, untreated diamond",Botswana Sort,"$3,050",1.00,Round,Good,H,SI2,6.16mm x 6.04mm x 4.08mm,56.0%,66.9%,Good,Very Good,Thin - Very Thick(Faceted),None,None,15993031
5891911A,"Natural, untreated diamond",Botswana Sort,"$3,030",1.00,Round,Ideal,H,SI2,6.34mm x 6.29mm x 4.01mm,56.5%,63.4%,Excellent,Excellent,Medium - Slightly Thick,Pointed,None,17805245
6330034A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Good,H,SI2,6.20mm x 6.16mm x 3.92mm,62.0%,63.4%,Very Good,Very Good,Thick - Very Thick,None,None,16553148
5556126A,"Natural, untreated diamond",Canada,"$3,060",1.00,Round,Fair,J,VS1,6.02mm x 5.97mm x 4.12mm,56.0%,68.8%,Very Good,Very Good,"Medium - Extremely Thick, Faceted",None,None,17897876
6448943A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Very Good,G,SI2,6.27mm x 6.20mm x 4.00mm,58.5%,64.0%,Excellent,Excellent,Thick,Pointed,Very Slight,17450207
4584570A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Fair,J,VS1,5.98mm x 5.93mm x 4.15mm,61.0%,69.7%,Very Good,Very Good,"Very Thick - Extremely Thick, Faceted",None,None,17892594
5235469A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Fair,G,SI2,5.97mm x 5.95mm x 4.19mm,59.0%,70.3%,Very Good,Excellent,"Very Thick - Extremely Thick, Faceted",None,None,17893355
6426007A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Good,I,SI1,6.12mm x 6.10mm x 4.00mm,57.0%,65.4%,Very Good,Excellent,"Medium - Very Thick, Faceted",None,None,17900211
6163680A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Ideal,H,SI2,6.41mm x 6.36mm x 3.95mm,58.0%,61.9%,Excellent,Excellent,Medium - Slightly Thick,Pointed,None,17885328
6279729A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Ideal,E,SI2,6.41mm x 6.31mm x 3.89mm,59.0%,60.9%,Very Good,Very Good,Medium - Slightly Thick,Pointed,Very Slight,17885367
5938168A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Super Ideal,J,SI2,6.39mm x 6.36mm x 3.96mm,61.0%,62.2%,Excellent,Excellent,Thin - Slightly Thick,None,Strong,16070142
5779293A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Very Good,H,SI2,6.24mm x 6.19mm x 3.99mm,58.0%,64.2%,Excellent,Very Good,Thick,None,Medium,14853630
5663845A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Fair,H,SI1,6.04mm x 5.95mm x 4.23mm,56.0%,70.5%,Very Good,Excellent,"Thick - Very Thick, Faceted",None,None,17894864
5963458A,"Natural, untreated diamond",Botswana Sort,"$3,040",1.00,Round,Very Good,G,SI2,6.32mm x 6.24mm x 3.95mm,59.5%,62.8%,Very Good,Excellent,Slightly Thick - Thick,Pointed,None,17575759
5676195A,"Natural, untreated diamond",Botswana Sort,"$3,060",1.00,Round,Fair,G,SI2,5.99mm x 5.92mm x 4.15mm,56.0%,69.7%,Very Good,Excellent,"Very Thick - Extremely Thick, Faceted",None,None,17892760
6468073A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Very Good,J,SI1,6.31mm x 6.26mm x 3.96mm,62.0%,63.1%,Excellent,Excellent,Thick,None,Medium,17760567
5612042A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Good,J,VS1,6.14mm x 5.99mm x 4.03mm,59.0%,65.9%,Very Good,Excellent,Slightly Thick - Very Thick,Pointed,None,15360532
5767679A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Good,G,SI2,6.15mm x 6.06mm x 4.00mm,57.0%,65.6%,Very Good,Excellent,Slightly Thick - Very Thick(Faceted),None,Faint,16734058
5400962A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Good,G,SI2,6.10mm x 6.00mm x 4.05mm,55.0%,67.0%,Good,Very Good,Thick - Very Thick(Faceted),None,None,16734066
5763786A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Fair,F,SI2,6.07mm x 6.05mm x 4.08mm,55.5%,67.3%,Very Good,Excellent,6.9,Pointed,None,17869455
6334462A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Good,J,SI2,6.33mm x 6.30mm x 3.84mm,63.0%,60.9%,Very Good,Very Good,"Thick - Very Thick, Faceted",None,Faint,17900269
5988117A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Ideal,F,SI2,6.41mm x 6.38mm x 3.96mm,56.5%,61.9%,Very Good,Excellent,Medium - Slightly Thick,Pointed,Very Slight,17885336
6127683A,"Natural, untreated diamond",Botswana Sort,"$3,050",1.00,Round,Ideal,G,SI2,6.38mm x 6.33mm x 3.98mm,55.5%,62.7%,Excellent,Excellent,Medium,Pointed,None,17582853
5863472A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Fair,J,VS2,6.00mm x 5.95mm x 4.13mm,55.0%,69.1%,Very Good,Very Good,"Medium - Extremely Thick, Faceted",None,None,17896285
5766803A,"Natural, untreated diamond",Botswana Sort,"$3,070",1.00,Round,Very Good,J,SI1,6.25mm x 6.20mm x 4.00mm,59.0%,64.2%,Excellent,Excellent,Slightly Thick - Thick,None,Strong,17749697
5209066A,"Natural, untreated diamond",Botswana Sort,"$3,080",1.00,Round,Good,G,SI2,6.11mm x 6.03mm x 4.05mm,59.0%,66.7%,Very Good,Excellent,Thick - Very Thick(Faceted),None,None,15994268
