stock_number,gemstone,origin,price,carat,shape,cut,color,clarity,measurements,table,depth,symmetry,polish,girdle,culet,fluorescence,diamond_id
6596616A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Very Good,H,SI2,6.07mm x 5.99mm x 3.83mm,58.0%,63.6%,Very Good,Very Good,Thick,None,17874240
5708836A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Super Ideal,H,SI2,6.16mm x 6.11mm x 3.85mm,59.0%,62.7%,Excellent,Excellent,Thin - Slightly Thick,Pointed,None,17369300
6366158A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Very Good,H,SI2,6.11mm x 6.05mm x 3.84mm,61.0%,63.1%,Good,Excellent,Slightly Thick - Thick,None,None,17317369
5568398A,"Natural, untreated diamond",Canada,"$2,510",0.90,Round,Very Good,I,SI2,6.06mm x 5.98mm x 3.88mm,55.0%,64.4%,Very Good,Excellent,Slightly Thick - Thick,None,None,17640886
6325150A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Very Good,J,VS2,6.08mm x 6.01mm x 3.87mm,58.0%,64.1%,Very Good,Excellent,Slightly Thick - Thick,None,Faint,17317423
6134450A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Good,E,SI2,5.99mm x 5.92mm x 3.95mm,57.0%,66.4%,Very Good,Very Good,Thick - Very Thick,None,Medium,15715902
6347387A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.90,Round,Very Good,I,VS2,6.17mm x 6.11mm x 3.83mm,59.0%,62.4%,Very Good,Excellent,Medium - Slightly Thick,None,None,17684275
6202973A,"Natural, untreated diamond",Canada,"$2,490",0.90,Round,Very Good,I,SI1,6.05mm x 5.99mm x 3.84mm,56.0%,63.8%,Very Good,Excellent,Medium - Thick,None,Faint,17325701
6419504A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.91,Round,Good,H,VS2,5.98mm x 5.94mm x 3.90mm,62.0%,65.4%,Very Good,Excellent,Very Thick,None,Faint,17682011
6009416A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Good,I,SI1,5.95mm x 5.92mm x 3.92mm,53.0%,66.1%,Excellent,Excellent,Thick,None,None,17322432
5529125A,"Natural, untreated diamond",Canada,"$2,530",0.90,Round,Ideal,J,SI2,6.16mm x 6.08mm x 3.87mm,55.0%,63.2%,Very Good,Excellent,Thin,None,Medium,17826000
5781305A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Very Good,J,VS2,6.03mm x 5.93mm x 3.88mm,57.0%,64.9%,Very Good,Excellent,Thick,None,None,14852993
5973008A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Very Good,I,SI1,6.05mm x 6.00mm x 3.87mm,57.0%,64.2%,Excellent,Excellent,Slightly Thick - Thick,None,Faint,14995689
5876491A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Good,I,SI2,6.02mm x 5.99mm x 3.91mm,61.0%,65.1%,Very Good,Very Good,5,Pointed,None,15407613
6191596A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.90,Round,Very Good,J,VS2,6.07mm x 6.00mm x 3.86mm,57.0%,63.9%,Very Good,Excellent,Slightly Thick - Thick,None,None,17326960
6149978A,"Natural, untreated diamond",Botswana Sort,"$2,540",0.90,Round,Ideal,J,VS2,6.16mm x 6.07mm x 3.86mm,55.0%,63.1%,Very Good,Excellent,Medium - Slightly Thick,None,Strong,17370341
6162183A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.90,Round,Very Good,H,SI2,6.04mm x 5.97mm x 3.83mm,57.0%,63.8%,Very Good,Excellent,Medium - Thick,Very Small,None,17805120
6596007A,"Natural, untreated diamond",Botswana Sort,"$2,540",0.90,Round,Very Good,J,VS2,6.09mm x 6.00mm x 3.87mm,56.5%,63.9%,Very Good,Excellent,Medium - Slightly Thick - (Facete,None,None,17864262
6201292Y,"Natural, untreated diamond",Canada,"$2,540",0.90,Round,Good,E,SI2,6.02mm x 5.96mm x 3.87mm,54.0%,64.6%,Very Good,Excellent,Slightly Thick - Thick,None,None,17746633
5073533A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Good,G,SI2,6.05mm x 5.99mm x 3.79mm,62.0%,62.9%,Excellent,Very Good,6,Pointed,None,15410230
4623225A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Good,J,VVS2,5.95mm x 5.90mm x 3.92mm,60.0%,66.1%,Very Good,Excellent,"Thick - Very Thick, Faceted",None,Faint,17435444
6539616A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Very Good,J,SI1,6.01mm x 5.98mm x 3.87mm,56.0%,64.5%,Very Good,Very Good,Slightly Thick - Thick,None,Medium,17635799
6305318A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Very Good,E,SI2,6.05mm x 6.01mm x 3.82mm,56.0%,63.3%,Excellent,Excellent,Very Thin,None,Strong,16513048
5910735A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Very Good,I,SI1,6.04mm x 6.00mm x 3.88mm,55.0%,64.4%,Excellent,Excellent,Slightly Thick,None,Faint,16513271
6565245A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,H,SI2,6.04mm x 5.96mm x 3.84mm,59.0%,64.0%,Very Good,Very Good,Slightly Thick - Thick,None,17874697
6330083A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,E,SI2,6.09mm x 6.00mm x 3.86mm,55.0%,63.8%,Very Good,Excellent,Slightly Thick - Thick,None,None,16553617
6517163A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,E,SI2,6.03mm x 5.97mm x 3.90mm,57.0%,64.9%,Very Good,Very Good,Slightly Thick - Thick,None,Medium,17533572
6122806A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Good,E,SI2,6.18mm x 6.11mm x 3.69mm,64.0%,60.0%,Very Good,Very Good,6,Pointed,Strong,16083160
6203349A,"Natural, untreated diamond",Botswana Sort,"$2,540",0.96,Round,Super Ideal,I,SI1,6.30mm x 6.26mm x 3.94mm,57.0%,62.6%,Excellent,Excellent,Medium,Pointed,Strong,17449996
6405684AY,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,G,SI2,6.12mm x 6.06mm x 3.76mm,59.0%,61.7%,Very Good,Very Good,Thick,None,Faint,17659103
5623270A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Good,F,SI1,6.01mm x 5.89mm x 3.77mm,59.0%,63.5%,Good,Excellent,Thick - Very Thick(Faceted),None,None,15994068
6573235A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Very Good,H,SI2,6.03mm x 5.95mm x 3.85mm,58.0%,64.2%,Very Good,Excellent,Medium - Thick,None,None,17805148
5434776A,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Good,J,VS1,5.89mm x 5.71mm x 3.94mm,58.0%,68.0%,Good,Excellent,Slightly Thick - Very Thick(Faceted),None,None,15992958
6200886A,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Very Good,H,SI2,6.03mm x 5.97mm x 3.84mm,58.0%,64.0%,Very Good,Excellent,Thick,None,None,15974598
5900368A,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Very Good,J,VS2,6.08mm x 6.01mm x 3.86mm,56.5%,63.8%,Excellent,Excellent,Slightly Thick,None,None,16332054
6574034Y,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Very Good,G,SI2,6.02mm x 5.95mm x 3.87mm,57.0%,64.7%,Very Good,Excellent,Slightly Thick - Thick,None,None,17777845
5842909A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Very Good,I,SI1,6.04mm x 6.01mm x 3.87mm,57.0%,64.2%,Excellent,Excellent,Slightly Thick - Thick,None,None,17370564
5973089A,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Very Good,G,SI2,6.03mm x 5.99mm x 3.87mm,56.0%,64.4%,Excellent,Excellent,Slightly Thick - Thick,None,Medium,14995678
6597942A,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Good,H,SI2,5.94mm x 5.89mm x 3.90mm,55.0%,65.9%,Very Good,Excellent,Thick - Very Thick,None,None,17882142
6598117A,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Very Good,I,SI2,6.06mm x 6.01mm x 3.86mm,57.0%,64.0%,Very Good,Excellent,Medium - Thick,None,None,17882560
6272980A,"Natural, untreated diamond",Canada,"$2,580",0.90,Round,Super Ideal,J,SI1,6.14mm x 6.11mm x 3.87mm,56.0%,63.2%,Excellent,Excellent,"Medium - Slightly Thick, Faceted",None,Medium,17440793
6176451A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Very Good,J,VS2,6.05mm x 6.02mm x 3.83mm,59.0%,63.5%,Excellent,Excellent,Slightly Thick - Thick,None,None,17867263
6329277A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Very Good,J,VS2,5.99mm x 5.91mm x 3.88mm,57.0%,65.2%,Very Good,Excellent,Slightly Thick - Thick,None,None,17748691
6513275A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Very Good,I,SI1,6.01mm x 5.97mm x 3.87mm,58.0%,64.7%,Excellent,Excellent,Thick,None,Medium,17749310
6316339A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,I,SI1,6.04mm x 5.98mm x 3.88mm,58.0%,64.6%,Very Good,Excellent,Slightly Thick - Thick,None,None,17317327
6433736A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Very Good,J,VS2,6.03mm x 5.94mm x 3.86mm,56.0%,64.5%,Very Good,Very Good,Medium - Thick,Very Small,Strong,17412008
5876490A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.91,Round,Good,H,SI2,5.96mm x 5.89mm x 3.90mm,57.0%,65.8%,Very Good,Very Good,6.5,Pointed,None,15406142
6335552A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Very Good,J,VS2,6.02mm x 5.99mm x 3.86mm,58.0%,64.2%,Excellent,Excellent,Slightly Thick - Thick,None,None,17789492
6092545A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Super Ideal,J,SI2,6.21mm x 6.16mm x 3.75mm,61.0%,60.7%,Excellent,Excellent,Medium,None,None,17830614
6313859Y,"Natural, untreated diamond",Canada,"$2,580",0.90,Round,Very Good,J,SI1,6.08mm x 6.03mm x 3.90mm,56.0%,64.4%,Very Good,Excellent,Medium - Thick,None,None,16773928
6455844A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Very Good,I,SI2,6.07mm x 5.98mm x 3.88mm,59.0%,64.4%,Very Good,Excellent,5.5,Pointed,None,17145154
6585982A,"Natural, untreated diamond",Botswana Sort,"$2,570",0.90,Round,Very Good,J,SI1,6.06mm x 6.04mm x 3.87mm,56.0%,64.1%,Very Good,Excellent,Thin - Thick,None,None,17837878
6219559A,"Natural, untreated diamond",Botswana Sort,"$2,590",0.90,Round,Super Ideal,I,SI2,6.14mm x 6.09mm x 3.85mm,56.0%,63.0%,Excellent,Excellent,Medium - Slightly Thick,None,17874806
6455834A,"Natural, untreated diamond",Botswana Sort,"$2,590",0.90,Round,Very Good,H,SI2,6.07mm x 6.01mm x 3.83mm,59.0%,63.4%,Very Good,Excellent,5.5,Pointed,Medium,17145137
6336258A,"Natural, untreated diamond",Botswana Sort,"$2,590",0.90,Round,Good,J,VS2,5.97mm x 5.93mm x 3.89mm,59.0%,65.4%,Excellent,Excellent,6,Pointed,Medium,16567356
6499024A,"Natural, untreated diamond",Botswana Sort,"$2,590",0.90,Round,Very Good,I,SI2,6.05mm x 5.99mm x 3.90mm,56.0%,64.7%,Very Good,Excellent,Medium - Thick,None,None,17371665
6448879A,"Natural, untreated diamond",Botswana Sort,"$2,580",0.90,Round,Very Good,I,SI2,6.05mm x 6.01mm x 3.87mm,57.0%,64.2%,Very Good,Excellent,Medium - Thick,None,None,17130662
5588078A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Good,J,VS1,5.90mm x 5.75mm x 3.93mm,55.0%,67.5%,Good,Very Good,Slightly Thick - Very Thick(Faceted),None,None,15992780
6122813A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Good,G,SI2,5.90mm x 5.83mm x 3.92mm,57.0%,66.7%,Very Good,Excellent,7,Pointed,None,16958974
6336245A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.91,Round,Very Good,I,SI2,6.08mm x 6.03mm x 3.86mm,58.0%,63.7%,Excellent,Excellent,5.5,Pointed,None,16568146
5902570A,"Natural, untreated diamond",Botswana Sort,"$2,600",0.90,Round,Good,H,SI1,5.93mm x 5.86mm x 3.92mm,55.0%,66.5%,Very Good,Excellent,Thick - Very Thick,None,Medium,15715782
